species	taxid	category	raw_refs	source_type	doi_list	pmid_list	resolution_status	notes
Acidovorax avenae subsp. avenae	80867	bacteria	Ji C, Ou J, Xu D, et al. First report of corn bacterial leaf stripe caused by Acidovorax avenae in Guangdong Province, China[J]. Plant Disease, 2014, 98(10): 1424-1424. White D G, Pataky J K, Stall R E. Unusual occurrences of bacterial leaf blight on maize and sorghum in Central Illinois[J]. 1994.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Bacillus pumilus	1408	bacteria	WANG X M, SHI J, JIN Q M, LI X, SUN S X. Field Book of Maize Diseases and Insect Pests. Beijing: China Agricultural Science and Technology Press, 2010. (in Chinese) 陈斌,韩海亮,侯俊峰,等.玉米细菌性茎腐病研究进展[J].中国植保导刊,2021,41(8):25-29+65. 姚秀英,代真林,魏兰芳,等.一株新的引起玉米细菌性茎腐病病原细菌的分离鉴定[J].植物病理学报,2021,51(5):822-827.DOI:10.13926/j.cnki.apps.000731.	book_or_compendium; chinese_literature	10.13926/j.cnki.apps.000731.		RESOLVED	
Burkholderia gladioli	28095	bacteria	Gijon-Hernandez A, Teliz-Ortiz D, Mejia-Sanchez D, et al. Leaf stripe and stem rot caused by Burkholderia gladioli, a new maize disease in Mexico[J]. Journal of Phytopathology, 2011, 159(5): 377-381. Félix-Gastelum, R.; Escalante-Castro, J.R.; Leyva-Madrigal, K.Y.; Maldonado-Mendoza, I.E.; Herrera-Rodríguez, G. Burkholderia gladioli Causing Brown Spot on Leaf Sheath of Sweet Corn (Zea mays L.) in Sinaloa, Mexico: An Emerging Disease. Agriculture 2026, 16, 948.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Clavibacter michiganensis subsp. nebraskensis	31963	bacteria	Osdaghi E, Robertson A E, Jackson‐Ziems T A, et al. Clavibacter nebraskensis causing Goss's wilt of maize: five decades of detaining the enemy in the New World[J]. Molecular Plant Pathology, 2023, 24(7): 675-692.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Dickeya dadantii	204038	bacteria	Askari S, Rezaei R, Sadravi M, et al. Identification of Dickeya dadantii Samson et al 2005 sp. nov.(Erwinia chrysanthemi 3937) as a causal agent of bacterial stalk rot of maize in Southwest of Iran[J]. Tropical Agriculture, 2018, 95(2).	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Dickeya zeae	204042	bacteria	Jatoth R, Kashyap A S, Babu P L, et al. Unravelling the aetiology of Dickeya zeae using polyphasic approaches for bacterial stalk rot in maize[J]. Plant Pathology, 2024, 73(4): 1007-1022. 陈斌,韩海亮,侯俊峰,等.玉米细菌性茎腐病研究进展[J].中国植保导刊,2021,41(8):25-29+65. 姚秀英,代真林,魏兰芳,等.一株新的引起玉米细菌性茎腐病病原细菌的分离鉴定[J].植物病理学报,2021,51(5):822-827.DOI:10.13926/j.cnki.apps.000731.	chinese_literature	10.13926/j.cnki.apps.000731.		RESOLVED	
Enterobacter cloacae subsp. dissolvens	69219	bacteria	(Rosen 1922; Hoffmann et al. 2005) Enterobacter cloacae subsp. Dissolvens W-4 is an aerobe, Gram-negative, motile plant pathogen that was isolated from maize plant.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Klebsiella pneumoniae	573	bacteria	Huang M, He P, Munir S, et al. Ecology and etiology of bacterial top rot in maize caused by Klebsiella pneumoniae KpC4[J]. Microbial pathogenesis, 2020, 139: 103906.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Pantoea agglomerans	549	bacteria	Morales-Valenzuela G, Silva-Rojas H V, Ochoa-Martínez D, et al. First report of Pantoea agglomerans causing leaf blight and vascular wilt in maize and sorghum in Mexico[J]. Plant Disease, 2007, 91(10): 1365-1365. 陈斌,韩海亮,侯俊峰,等.玉米细菌性茎腐病研究进展[J].中国植保导刊,2021,41(8):25-29+65. 姚秀英,代真林,魏兰芳,等.一株新的引起玉米细菌性茎腐病病原细菌的分离鉴定[J].植物病理学报,2021,51(5):822-827.DOI:10.13926/j.cnki.apps.000731.	chinese_literature	10.13926/j.cnki.apps.000731.		RESOLVED	
Pantoea ananatis	553	bacteria	Zhao X, Gao L, Ali Q, et al. A type VI secretion system effector TseG of Pantoea ananatis is involved in virulence and antibacterial activity[J]. Molecular Plant Pathology, 2024, 25(3): e13442.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
