species	taxid	citation_id	doi	pmid
Acidovorax avenae subsp. avenae	80867	80867.1	10.1094/pdis-03-14-0334-pdn	30704011
Acidovorax avenae subsp. avenae	80867	80867.2	10.1094/pd-78-0640d	
Bacillus pumilus	1408	1408.1	10.1016/b978-0-12-803527-6.00011-1	
Bacillus pumilus	1408	1408.2	10.13926/j.cnki.apps.000731	
Burkholderia gladioli	28095	28095.1	10.1111/j.1439-0434.2010.01776.x	
Burkholderia gladioli	28095	28095.2	10.3390/agriculture16090948	
Clavibacter michiganensis subsp. nebraskensis	31963	31963.1	10.1111/mpp.13268	36116105
Dickeya dadantii	204038	204038.1	10.1601/ex.9513	
Dickeya zeae	204042	204042.1	10.1111/ppa.13858	
Dickeya zeae	204042	204042.2	10.70693/cjmsr.v1i1.554	
Dickeya zeae	204042	204042.3	10.13926/j.cnki.apps.000731	
Enterobacter cloacae subsp. dissolvens	69219	69219.1	10.1021/acs.jafc.0c01613.s001	
Klebsiella pneumoniae	573	573.1	10.1016/j.micpath.2019.103906	31786257
Pantoea agglomerans	549	549.1	10.1094/pdis-91-10-1365a	30780539
Pantoea agglomerans	549	549.2	10.70693/cjmsr.v1i1.554	
Pantoea agglomerans	549	549.3	10.13926/j.cnki.apps.000731	
Pantoea ananatis	553	553.1	10.1111/mpp.13442	38476100
Pantoea stewartii subsp. stewartii	66269	66269.1	10.1111/j.1364-3703.2010.00698.x	21726365
Pectobacterium carotovorum	554	554.1	10.14199/ppp-2024-003	
Pseudomonas aeruginosa	287	287.1	10.1111/j.1744-7917.1998.tb00328.x	
Pseudomonas aeruginosa	287	287.2	10.13926/j.cnki.apps.000731	
Pseudomonas asplenii	53407	53407.1	10.1094/pd-73-0514	
Pseudomonas extremorientalis	169669	169669.1	10.70693/cjmsr.v1i1.554	
Pseudomonas extremorientalis	169669	169669.2	10.13926/j.cnki.apps.000731	
Pseudomonas syringae pv. lapsa	199201	199201.1	10.13989/j.cnki.0517-6611.2006.10.056﻿	
Pseudomonas syringae pv. syringae	321	321.1	10.1002/mbo3.261	25940918
Robbsia andropogonis	28092	28092.1	10.1094/pd-78-1218c	
Serratia marcescens	615	615.1	10.1094/pdis-02-23-0276-re	37727018
Stenotrophomonas maltophilia	40324	40324.1	10.1111/jph.13299	
Xanthomonas vasicola pv. vasculorum	325776	325776.1	10.1094/phyto-05-17-0168-r	28677478
Alphanucleorhabdovirus maydis	279896	279896.1	10.1016/b978-0-12-801246-8.00008-1	25410107
Alphanucleorhabdovirus zeairanense	348823	348823.1	10.1371/journal.pone.0194592	29634778
American wheat striate mosaic virus	1985707	1985707.1	10.1139/b63-098	
Aureusvirus zeae	445227	445227.1	10.1094/phyto-81-397	
Betacytorhabdovirus hordei	2545470	2545470.1	10.1071/ar9820013	
Bromovirus BMV	12302	12302.1	10.2139/ssrn.4752320	
Cucumovirus CMV	12305	12305.1	10.5423/ppj.2011.27.4.372	
Emaravirus tritici	1980428	1980428.1	10.1016/b978-0-12-801246-8.00008-1	25410107
Fijivirus alporyzae	10990	10990.1	10.1016/b978-0-12-801246-8.00008-1	25410107
Fijivirus boryzae	519497	519497.1	10.3389/fmicb.2013.00270	24058362
Fijivirus cuartoense	185954	185954.1	10.1016/b978-0-12-801246-8.00008-1	25410107
Fijivirus zeae	10989	10989.1	10.1016/b978-0-12-801246-8.00008-1	25410107
