file	type	title	authors	journal	year	doi	url
CNKI-20260826103915475.enw	Journal Article	玉米丝黑穗病防治措施	金广田	现代农村科技	2021		https://kns.cnki.net/kcms2/article/abstract?v=hH4QDuxDhLR1ZA3VrfZLLSfWLXCwVat25rHgIPQWz7cP30Xrb3Y_Odd0b745db8krrqyO8s-irB6Yr534LQXRmM4_bXzU_F4NGu-_aCW6h5-Ik2ePwXypTY6JAUcH_dJGLMW82oLMHUKA1kh0K_MJczxlXxXRIRsiWCgaIqFRCrgwvDq6jcyOitdtp2ABOQU&uniplatform=NZKPT&language=CHS
CNKI-20260826103915475.enw	Journal Article	江苏草地贪夜蛾天敌资源调查及其在玉米田控害作用评价	牛洪涛 胡慧 张志春 赵冬晓 赵静 王娜 郭慧芳	中国生物防治学报	2021	10.16409/j.cnki.2095-039x.2021.03.021	https://link.cnki.net/doi/10.16409/j.cnki.2095-039x.2021.03.021
CNKI-20260826103915475.enw	Other Article	短密木霉GSAAMLSHU-1及其应用	郭成		2021-03-23		
CNKI-20260826103915475.enw	Journal Article	杂交制种玉米苗枯病发生规律及发生因子研究	韩旺旺 聂玉洁	安徽农学通报	2021	10.16377/j.cnki.issn1007-7731.2021.05.046	https://link.cnki.net/doi/10.16377/j.cnki.issn1007-7731.2021.05.046
CNKI-20260826103915475.enw	Journal Article	玉米粉红聚端孢穗腐病的识别与防治措施	林曙东	园艺与种苗	2021	10.16530/j.cnki.cn21-1574/s.2021.02.029	https://link.cnki.net/doi/10.16530/j.cnki.cn21-1574/s.2021.02.029
CNKI-20260826103915475.enw	Journal Article	一株新的引起玉米细菌性茎腐病病原细菌的分离鉴定	姚秀英 代真林 魏兰芳 张晋豪 姬广海	植物病理学报	2021	10.13926/j.cnki.apps.000731	https://link.cnki.net/doi/10.13926/j.cnki.apps.000731
CNKI-20260826103915475.enw	Thesis	辣椒炭疽病菌（Colletotrichum scovillei）次生代谢产物及其抑菌活性	陈明卿		2021	10.27327/d.cnki.gshnu.2021.000036	https://link.cnki.net/doi/10.27327/d.cnki.gshnu.2021.000036
CNKI-20260826103915475.enw	Thesis	白薇病害鉴定及丝核菌叶斑病病原学研究	智慧		2021	10.27327/d.cnki.gshnu.2021.000026	https://link.cnki.net/doi/10.27327/d.cnki.gshnu.2021.000026
CNKI-20260826103915475.enw	Thesis	辽宁省玉米穗腐病镰孢菌病原学及化学防控技术研究	黄诗涵		2021	10.27327/d.cnki.gshnu.2021.000018	https://link.cnki.net/doi/10.27327/d.cnki.gshnu.2021.000018
CNKI-20260826103915475.enw	Thesis	SL101菌株次生代谢产物及其抑菌活性研究	刘鑫		2021	10.27327/d.cnki.gshnu.2021.000021	https://link.cnki.net/doi/10.27327/d.cnki.gshnu.2021.000021
CNKI-20260826103915475.enw	Thesis	玉米赤霉烯酮降解酶分离纯化及降解条件优化研究	关韵		2020	10.27327/d.cnki.gshnu.2020.000894	https://link.cnki.net/doi/10.27327/d.cnki.gshnu.2020.000894
CNKI-20260826103915475.enw	Thesis	玉米大斑病菌木聚糖酶基因StXYL1克隆、分析及表达	王禹博		2020	10.27327/d.cnki.gshnu.2020.000949	https://link.cnki.net/doi/10.27327/d.cnki.gshnu.2020.000949
