species	taxid	category	search_string	hits	unique_pmids
Acidovorax avenae subsp. avenae	80867	bacteria	"Acidovorax avenae subsp. avenae"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Bacillus pumilus	1408	bacteria	"Bacillus pumilus"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	27	27
Burkholderia gladioli	28095	bacteria	"Burkholderia gladioli"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	18	18
Clavibacter michiganensis subsp. nebraskensis	31963	bacteria	"Clavibacter michiganensis subsp. nebraskensis"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	1	1
Dickeya dadantii	204038	bacteria	"Dickeya dadantii"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	1	1
Dickeya zeae	204042	bacteria	"Dickeya zeae"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	12	12
Enterobacter cloacae subsp. dissolvens	69219	bacteria	"Enterobacter cloacae subsp. dissolvens"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Klebsiella pneumoniae	573	bacteria	"Klebsiella pneumoniae"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	50	50
Pantoea agglomerans	549	bacteria	"Pantoea agglomerans"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	23	23
Pantoea ananatis	553	bacteria	"Pantoea ananatis"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	31	31
Pantoea stewartii subsp. stewartii	66269	bacteria	"Pantoea stewartii subsp. stewartii"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	7	7
Pectobacterium carotovorum	554	bacteria	"Pectobacterium carotovorum"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	4	4
Pseudomonas aeruginosa	287	bacteria	"Pseudomonas aeruginosa"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	103	103
Pseudomonas asplenii	53407	bacteria	"Pseudomonas asplenii"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Pseudomonas extremorientalis	169669	bacteria	"Pseudomonas extremorientalis"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Pseudomonas syringae pv. lapsa	199201	bacteria	"Pseudomonas syringae pv. lapsa"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Pseudomonas syringae pv. syringae	321	bacteria	"Pseudomonas syringae pv. syringae"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Robbsia andropogonis	28092	bacteria	"Robbsia andropogonis"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	2	2
Serratia marcescens	615	bacteria	"Serratia marcescens"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	27	27
Stenotrophomonas maltophilia	40324	bacteria	"Stenotrophomonas maltophilia"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	12	12
Xanthomonas vasicola pv. vasculorum	325776	bacteria	"Xanthomonas vasicola pv. vasculorum"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	6	6
Alphanucleorhabdovirus maydis	279896	viruses	"Alphanucleorhabdovirus maydis"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	1	1
Alphanucleorhabdovirus zeairanense	348823	viruses	"Alphanucleorhabdovirus zeairanense"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
American wheat striate mosaic virus	1985707	viruses	"American wheat striate mosaic virus"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Aureusvirus zeae	445227	viruses	"Aureusvirus zeae"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Betacytorhabdovirus hordei	2545470	viruses	"Betacytorhabdovirus hordei"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	1	1
Bromovirus BMV	12302	viruses	"Bromovirus BMV"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Cucumovirus CMV	12305	viruses	"Cucumovirus CMV"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Emaravirus tritici	1980428	viruses	"Emaravirus tritici"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Fijivirus alporyzae	10990	viruses	"Fijivirus alporyzae"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Fijivirus boryzae	519497	viruses	"Fijivirus boryzae"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Fijivirus cuartoense	185954	viruses	"Fijivirus cuartoense"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Fijivirus zeae	10989	viruses	"Fijivirus zeae"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Gammanucleorhabdovirus cerealis	2964312	viruses	"Gammanucleorhabdovirus cerealis"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Gammanucleorhabdovirus maydis	209854	viruses	"Gammanucleorhabdovirus maydis"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Hordeivirus hordei	12327	viruses	"Hordeivirus hordei"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Luteovirus mavhordei	2169984	viruses	"Luteovirus mavhordei"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Machlomovirus zeae	12138	viruses	"Machlomovirus zeae"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Maize yellow stripe virus	328622	viruses	"Maize yellow stripe virus"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	1	1
Marafivirus maydis	59749	viruses	"Marafivirus maydis"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Mastrevirus bourbonense	1182518	viruses	"Mastrevirus bourbonense"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Mastrevirus fulleri	2557970	viruses	"Mastrevirus fulleri"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Mastrevirus storeyi	10821	viruses	"Mastrevirus storeyi"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
