species	taxid	category	citation_id	raw_chunk	extracted_doi	crossref_doi	crossref_title	crossref_container	crossref_year	crossref_score	crossref_error	pubmed_pmid	pubmed_title	pubmed_year	pubmed_score	pubmed_error	resolution_status	verification_required	review_decision	reviewer	review_date	review_notes
Acidovorax avenae subsp. avenae	80867	bacteria	80867.1	Ji C, Ou J, Xu D, et al. First report of corn bacterial leaf stripe caused by Acidovorax avenae in Guangdong Province, China[J]. Plant Disease, 2014, 98(10): 1424-1424.		10.1094/pdis-03-14-0334-pdn	First Report of Corn Bacterial Leaf Stripe Caused by Acidovorax avenae in Guangdong Province, China	Plant Disease	2014			30704011	First Report of Corn Bacterial Leaf Stripe Caused by Acidovorax avenae in Guangdong Province, China.	2014			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-28	strict_doi_match
Acidovorax avenae subsp. avenae	80867	bacteria	80867.2	White D G, Pataky J K, Stall R E. Unusual occurrences of bacterial leaf blight on maize and sorghum in Central Illinois[J]. 1994.		10.1094/pd-78-0640d	Unusual Occurrences of Bacterial Leaf Blight on Maize and Sorghum in Central Illinois	Plant Disease	1994								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-25	strict_doi_match
Bacillus pumilus	1408	bacteria	1408.1	WANG X M, SHI J, JIN Q M, LI X, SUN S X. Field Book of Maize Diseases and Insect Pests. Beijing: China Agricultural Science and Technology Press, 2010. (in Chinese) 陈斌,韩海亮,侯俊峰,等.玉米细菌性茎腐病研究进展[J].中国植保导刊,2021,41(8):25-29+65.		10.1016/b978-0-12-803527-6.00011-1	Current and Potential Applications of Biopesticides to Manage Insect Pests of Maize	Microbial Control of Insect and Mite Pests	2017								AUTO_CANDIDATE_LOW	yes	Not found	Gui-Feng Gao	2026-08-29	title_mismatch overlap=0.20; openalex_no_doi
Bacillus pumilus	1408	bacteria	1408.2	姚秀英,代真林,魏兰芳,等.一株新的引起玉米细菌性茎腐病病原细菌的分离鉴定[J].植物病理学报,2021,51(5):822-827. DOI:10.13926/j.cnki.apps.000731.	10.13926/j.cnki.apps.000731	10.13926/j.cnki.apps.000731	一株新的引起玉米细菌性茎腐病病原细菌的分离鉴定										RESOLVED_DOI_INPUT	no	Correct	Gui-Feng Gao	2026-08-20	extracted_doi_kept_title_from_raw
Burkholderia gladioli	28095	bacteria	28095.1	Gijon-Hernandez A, Teliz-Ortiz D, Mejia-Sanchez D, et al. Leaf stripe and stem rot caused by Burkholderia gladioli, a new maize disease in Mexico[J]. Journal of Phytopathology, 2011, 159(5): 377-381.		10.1111/j.1439-0434.2010.01776.x	Leaf Stripe and Stem Rot Caused by Burkholderia gladioli, a New Maize Disease in Mexico	Journal of Phytopathology	2010								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-23	strict_doi_match
Burkholderia gladioli	28095	bacteria	28095.2	Félix-Gastelum, R.; Escalante-Castro, J.R.; Leyva-Madrigal, K.Y.; Maldonado-Mendoza, I.E.; Herrera-Rodríguez, G. Burkholderia gladioli Causing Brown Spot on Leaf Sheath of Sweet Corn (Zea mays L.) in Sinaloa, Mexico: An Emerging Disease. Agriculture 2026, 16, 948.		10.3390/agriculture16090948	Burkholderia gladioli Causing Brown Spot on Leaf Sheath of Sweet Corn (Zea mays L.) in Sinaloa, Mexico: An Emerging Disease	Agriculture	2026								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-23	strict_doi_match
Clavibacter michiganensis subsp. nebraskensis	31963	bacteria	31963.1	Osdaghi E, Robertson A E, Jackson‐Ziems T A, et al. Clavibacter nebraskensis causing Goss's wilt of maize: five decades of detaining the enemy in the New World[J]. Molecular Plant Pathology, 2023, 24(7): 675-692.		10.1111/mpp.13268	Clavibacter nebraskensis causing Goss's wilt of maize: Five decades of detaining the enemy in the New World	Molecular Plant Pathology	2022			36116105	Clavibacter nebraskensis causing Goss's wilt of maize: Five decades of detaining the enemy in the New World.	2023			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-22	strict_doi_match
Dickeya dadantii	204038	bacteria	204038.1	Askari S, Rezaei R, Sadravi M, et al. Identification of Dickeya dadantii Samson et al 2005 sp. nov.(Erwinia chrysanthemi 3937) as a causal agent of bacterial stalk rot of maize in Southwest of Iran[J]. Tropical Agriculture, 2018, 95(2).		10.1601/ex.9513	Exemplar Abstract for Dickeya dadantii dadantii (Samson et al. 2005) Brady et al. 2012 and Dickeya dadantii Samson et al. 2005 emend. Brady et al. 2012.	The NamesforLife Abstracts	2010								AUTO_CANDIDATE_LOW	yes	Incorrect	Gui-Feng Gao	2026-08-21	title_mismatch overlap=0.24; openalex_no_doi
Dickeya zeae	204042	bacteria	204042.1	Jatoth R, Kashyap A S, Babu P L, et al. Unravelling the aetiology of Dickeya zeae using polyphasic approaches for bacterial stalk rot in maize[J]. Plant Pathology, 2024, 73(4): 1007-1022.		10.1111/ppa.13858	Unravelling the aetiology of Dickeya zeae using polyphasic approaches for bacterial stalk rot in maize	Plant Pathology	2024								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-24	strict_doi_match
Dickeya zeae	204042	bacteria	204042.2	陈斌,韩海亮,侯俊峰,等.玉米细菌性茎腐病研究进展[J].中国植保导刊,2021,41(8):25-29+65.		10.70693/cjmsr.v1i1.554	心血管疾病中内皮细胞调控机制的研究进展	中国医学科学研究	2025								AUTO_CANDIDATE_LOW	yes	Incorrect	Gui-Feng Gao	2026-08-24	title_mismatch overlap=0.00; openalex_no_doi
Dickeya zeae	204042	bacteria	204042.3	姚秀英,代真林,魏兰芳,等.一株新的引起玉米细菌性茎腐病病原细菌的分离鉴定[J].植物病理学报,2021,51(5):822-827. DOI:10.13926/j.cnki.apps.000731.	10.13926/j.cnki.apps.000731	10.13926/j.cnki.apps.000731	一株新的引起玉米细菌性茎腐病病原细菌的分离鉴定										RESOLVED_DOI_INPUT	no	Correct	Gui-Feng Gao	2026-08-20	extracted_doi_kept_title_from_raw
Enterobacter cloacae subsp. dissolvens	69219	bacteria	69219.1	(Rosen 1922; Hoffmann et al. 2005) Enterobacter cloacae subsp. Dissolvens W-4 is an aerobe, Gram-negative, motile plant pathogen that was isolated from maize plant.		10.1021/acs.jafc.0c01613.s001	Ribonucleoside Diphosphate Reductase Plays an Important Role in Patulin Degradation by Enterobacter cloacae subsp. dissolvens										AUTO_CANDIDATE_LOW	yes	Incorrect	Gui-Feng Gao	2026-08-25	title_mismatch overlap=0.25; openalex_no_doi
Klebsiella pneumoniae	573	bacteria	573.1	Huang M, He P, Munir S, et al. Ecology and etiology of bacterial top rot in maize caused by Klebsiella pneumoniae KpC4[J]. Microbial pathogenesis, 2020, 139: 103906.		10.1016/j.micpath.2019.103906	Ecology and etiology of bacterial top rot in maize caused by Klebsiella pneumoniae KpC4	Microbial Pathogenesis	2020			31786257	Ecology and etiology of bacterial top rot in maize caused by Klebsiella pneumoniae KpC4.	2020			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-21	strict_doi_match
Pantoea agglomerans	549	bacteria	549.1	Morales-Valenzuela G, Silva-Rojas H V, Ochoa-Martínez D, et al. First report of Pantoea agglomerans causing leaf blight and vascular wilt in maize and sorghum in Mexico[J]. Plant Disease, 2007, 91(10): 1365-1365.		10.1094/pdis-91-10-1365a	First Report of Pantoea agglomerans Causing Leaf Blight and Vascular Wilt in Maize and Sorghum in Mexico	Plant Disease	2007			30780539	First Report of Pantoea agglomerans Causing Leaf Blight and Vascular Wilt in Maize and Sorghum in Mexico.	2007			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-25	strict_doi_match
