species	full_name	synonyms	category	taxid	disease_en	disease_cn	evidence_level	evidence_refs_raw	sequence_status	sequence_count	accessions	missing_reason	notes
Acidovorax avenae subsp. avenae	Acidovorax avenae subsp.avenae		bacteria	80867	Bacterial leaf stripe / Red stripe	细菌性条纹病/红条病	confirmed	Ji C, Ou J, Xu D, et al. First report of corn bacterial leaf stripe caused by Acidovorax avenae in Guangdong Province, China[J]. Plant Disease, 2014, 98(10): 1424-1424. White D G, Pataky J K, Stall R E. Unusual occurrences of bacterial leaf blight on maize and sorghum in Central Illinois[J]. 1994.	present	4	AB021421.1; AB571879.1; AM943046.1; LC702348.1		
Bacillus pumilus	Bacillus pumilus		bacteria	1408	Stalk rot / leaf spot (occasional)	茎腐病/叶斑病(偶发)	secondary	WANG X M, SHI J, JIN Q M, LI X, SUN S X. Field Book of Maize Diseases and Insect Pests. Beijing: China Agricultural Science and Technology Press, 2010. (in Chinese) 陈斌,韩海亮,侯俊峰,等.玉米细菌性茎腐病研究进展[J].中国植保导刊,2021,41(8):25-29+65. 姚秀英,代真林,魏兰芳,等.一株新的引起玉米细菌性茎腐病病原细菌的分离鉴定[J].植物病理学报,2021,51(5):822-827.DOI:10.13926/j.cnki.apps.000731.	present	43	HG008801.1; LC063672.1; LC599402.1; LC667793.1; LC667805.1; LC768708.1; LM643738.1; LM643745.1; LN827670.1; LN866616.1; LN867304.1; LN879493.2; LN879494.2; LN880277.1; LN890660.1; LN995758.1; LN997932.1; LR215095.1; LR535757.1; LR535759.1; LR535772.1; LR535793.1; LS991397.1; LT221146.1; LT221259.1; LT617072.1; LT617079.1; LT617087.1; LT635531.1; LT635532.1; LT635536.1; LT797521.1; LT797528.1; LT844637.1; LT969592.1; LT969725.1; LT978407.1; LT984707.1; LT986210.1; LT986212.1; LT986213.1; LT986222.1; LT986225.1		
Burkholderia gladioli	Burkholderia gladioli		bacteria	28095	Bacterial leaf spot / stalk rot	细菌性叶斑病/茎腐病	confirmed	Gijon-Hernandez A, Teliz-Ortiz D, Mejia-Sanchez D, et al. Leaf stripe and stem rot caused by Burkholderia gladioli, a new maize disease in Mexico[J]. Journal of Phytopathology, 2011, 159(5): 377-381. Félix-Gastelum, R.; Escalante-Castro, J.R.; Leyva-Madrigal, K.Y.; Maldonado-Mendoza, I.E.; Herrera-Rodríguez, G. Burkholderia gladioli Causing Brown Spot on Leaf Sheath of Sweet Corn (Zea mays L.) in Sinaloa, Mexico: An Emerging Disease. Agriculture 2026, 16, 948.	present	13	AB012916.1; AB013111.1; AB021384.1; AB021389.1; AB024491.1; AB680484.1; AH004175.2; D13060.1; L28156.1; L28157.1; LC792307.1; LC792308.1; LT547718.1		
Clavibacter michiganensis subsp. nebraskensis	Clavibacter michiganensis subsp. nebraskensis		bacteria	31963	Goss's bacterial wilt and leaf blight	高斯细菌性枯萎病/叶枯病	confirmed	Osdaghi E, Robertson A E, Jackson‐Ziems T A, et al. Clavibacter nebraskensis causing Goss's wilt of maize: five decades of detaining the enemy in the New World[J]. Molecular Plant Pathology, 2023, 24(7): 675-692.	present	10	FR728274.1; FR728275.1; FR728278.1; FR728287.1; FR728302.1; FR728312.1; FR728313.1; FR728317.1; U09763.1		
Dickeya dadantii	Dickeya dadantii		bacteria	204038	Bacterial stalk rot	细菌性茎腐病	confirmed	Askari S, Rezaei R, Sadravi M, et al. Identification of Dickeya dadantii Samson et al 2005 sp. nov.(Erwinia chrysanthemi 3937) as a causal agent of bacterial stalk rot of maize in Southwest of Iran[J]. Tropical Agriculture, 2018, 95(2).	present	13	AB713534.1; AB713543.1; AB713545.1; AB713563.1; AB713572.1; AB744145.1; AB744146.1; AB744147.1; AB744148.1; LC490701.1; LC490705.1; LC490710.1; LC490711.1		
Dickeya zeae	Dickeya zeae( Erwinia chrysanthemi pv. zeae)		bacteria	204042	Bacterial stalk rot	细菌性茎腐病	confirmed	Jatoth R, Kashyap A S, Babu P L, et al. Unravelling the aetiology of Dickeya zeae using polyphasic approaches for bacterial stalk rot in maize[J]. Plant Pathology, 2024, 73(4): 1007-1022. 陈斌,韩海亮,侯俊峰,等.玉米细菌性茎腐病研究进展[J].中国植保导刊,2021,41(8):25-29+65. 姚秀英,代真林,魏兰芳,等.一株新的引起玉米细菌性茎腐病病原细菌的分离鉴定[J].植物病理学报,2021,51(5):822-827.DOI:10.13926/j.cnki.apps.000731.	present	7	AB713536.1; AB713546.1; AB713548.1; AB713553.1; AB713560.1; AB713565.1; AB744152.1		
Enterobacter cloacae subsp. dissolvens	Enterobacter cloacae subsp. dissolvens (Pseudomonas dissolvens, Enterobacter dissolvens, Erwinia dissolvens)		bacteria	69219	Bacterial stalk rot	玉米细菌性茎腐病	confirmed	(Rosen 1922; Hoffmann et al. 2005) Enterobacter cloacae subsp. Dissolvens W-4 is an aerobe, Gram-negative, motile plant pathogen that was isolated from maize plant.	present	3	AJ417485.1; LC667811.1; LC667815.1		
Klebsiella pneumoniae	Klebsiella pneumoniae		bacteria	573	Bacterial stalk rot (opportunistic)	细菌性茎腐病(条件致病)	opportunistic	Huang M, He P, Munir S, et al. Ecology and etiology of bacterial top rot in maize caused by Klebsiella pneumoniae KpC4[J]. Microbial pathogenesis, 2020, 139: 103906.	present	43	LC512010.1; LC557135.3; LC617176.1; LC618828.1; LC645191.1; LC649235.1; LC654889.1; LC711131.1; LC711132.1; LC711133.1; LC711134.1; LC711135.1; LC711136.1; LC711137.1; LC711138.1; LC711139.1; LC711140.1; LC711141.1; LC717013.1; LC717152.1; LC732202.1; LC732203.1; LC747146.1; LC764401.1; LC800022.1; LC800023.1; LC802112.1; LC802113.1; LC802115.1; LC834133.1; LC848124.1; LC868253.1; LC924319.1; LC924333.1; MZ092733.1; NG_047476.1; NG_048062.1; OK482771.1; OK504483.1; ON286761.1; OU548745.1; PV361230.1; PV361232.1		
Pantoea agglomerans	Pantoea agglomerans		bacteria	549	Bacterial stalk rot / leaf spot (opportunistic)	细菌性茎腐病/叶斑病(条件致病)	opportunistic	Morales-Valenzuela G, Silva-Rojas H V, Ochoa-Martínez D, et al. First report of Pantoea agglomerans causing leaf blight and vascular wilt in maize and sorghum in Mexico[J]. Plant Disease, 2007, 91(10): 1365-1365. 陈斌,韩海亮,侯俊峰,等.玉米细菌性茎腐病研究进展[J].中国植保导刊,2021,41(8):25-29+65. 姚秀英,代真林,魏兰芳,等.一株新的引起玉米细菌性茎腐病病原细菌的分离鉴定[J].植物病理学报,2021,51(5):822-827.DOI:10.13926/j.cnki.apps.000731.	present	43	HE588003.1; HE613764.1; HE613771.1; HE613777.1; HE613778.1; HE647624.1; HE648132.1; HE648133.1; HE648134.1; HE653017.1; HE653018.1; HE653021.1; HE653022.1; HE661627.2; HE716932.1; HF566261.1; HF566262.1; HF566263.1; HF566264.1; HF584957.1; HF584963.1; HF584964.1; HF584965.1; HF584969.1; HF584972.1; HF584996.1; HF584997.1; HF584999.1; HF585001.1; HF585002.1; HG799974.1; LC595314.1; LC602956.1; LC645192.1; LC709256.1; LC848125.1; LN879339.1; LN879348.1; LN997968.1; LT592133.1; LT934417.1; LT969585.1; S69174.1		
Pantoea ananatis	Pantoea ananatis		bacteria	553	Bacterial leaf spot / stalk rot	细菌性叶斑病/茎腐病/细菌性白斑病	confirmed	Zhao X, Gao L, Ali Q, et al. A type VI secretion system effector TseG of Pantoea ananatis is involved in virulence and antibacterial activity[J]. Molecular Plant Pathology, 2024, 25(3): e13442.	present	19	AB304809.1; AJ629190.1; FN178362.1; FN691983.1; FN691984.1; FN691985.1; FR865900.1; FR872704.1; HE672167.1; HE716901.1; HE716948.1; HE716949.1; LC595300.1; LC792303.1; LN880270.1; LN880271.1; LN880272.1; LN890661.1; OZ408658.1		
