primer_pair	category	n	covered	coverage_pct
16S_V3V4	bacteria	402	235	58.5
16S_V4	bacteria	402	264	65.7
16S_V3V8	bacteria	402	133	33.1
16S_full_27F_1492R	bacteria	402	4	1.0
16S_V4V5	bacteria	402	244	60.7
ITS_ITS1F_ITS4	fungi+oomycetes	5301	167	3.2
ITS_ITS5_ITS4	fungi+oomycetes	5301	198	3.7
ITS_ITS1_ITS4	fungi+oomycetes	5301	381	7.2
ITS_ITS86F_ITS4	fungi+oomycetes	5301	851	16.1
ITS_fITS7_ITS4	fungi+oomycetes	5301	878	16.6
ITS_ITS1F_ITS2	fungi+oomycetes	5301	295	5.6
ITS_ITS3_ITS4	fungi+oomycetes	5301	835	15.8
ITS_ITS9mun_ITS4ngs	fungi+oomycetes	5301	56	1.1
