category	metric	n	accuracy
Bacteria	species_retrieval_ok	32	96.9
Bacteria	genus_retrieval_ok	32	100.0
Bacteria	species_class_ok	32	53.1
Bacteria	genus_class_ok	32	90.6
Viruses	species_retrieval_ok	30	100.0
Viruses	genus_retrieval_ok	30	100.0
Viruses	species_class_ok	30	60.0
Viruses	genus_class_ok	30	90.0
Fungi	species_retrieval_ok	537	74.3
Fungi	genus_retrieval_ok	537	96.3
Fungi	species_class_ok	537	59.2
Fungi	genus_class_ok	537	91.8
Oomycetes	species_retrieval_ok	76	94.7
Oomycetes	genus_retrieval_ok	76	100.0
Oomycetes	species_class_ok	76	76.3
Oomycetes	genus_class_ok	76	98.7
