qseqid	reads	unite_taxonomy	unite_confidence	unite_kingdom	unite_phylum	unite_class	unite_order	unite_family	unite_genus	unite_species	unite_pathogen_species	unite_pathogen_genus	mpdb_subject	mpdb_pident	mpdb_qcovs	mpdb_species	mpdb_genus	mpdb_species_hit_ok	mpdb_genus_hit_ok	mpdb_pathogen_species	mpdb_pathogen_genus	mpdb_unite_genus_agree
ASV_ID_1	40232	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Cystofilobasidiales;f__Mrakiaceae;g__Tausonia;s__Tausonia_pullulans	0.9999999999089368	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia	Tausonia pullulans	False	False	Waitea zeae (Rhizoctonia zeae)	95.263	25.0	Waitea zeae (Rhizoctonia zeae)	Waitea	False	False	False	False	False
ASV_ID_2	39148	k__Fungi;p__Fungi_phy_Incertae_sedis;c__Fungi_cls_Incertae_sedis;o__Fungi_ord_Incertae_sedis;f__Fungi_fam_Incertae_sedis;g__Fungi_gen_Incertae_sedis;s__Fungi_sp	0.5526173551546384	Fungi	Fungi_phy_Incertae_sedis	Fungi_cls_Incertae_sedis	Fungi_ord_Incertae_sedis	Fungi_fam_Incertae_sedis	Fungi_gen_Incertae_sedis	Fungi sp	False	False	Waitea zeae (Rhizoctonia zeae)	95.263	25.0	Waitea zeae (Rhizoctonia zeae)	Waitea	False	False	False	False	False
ASV_ID_3	28660	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Cystofilobasidiales;f__Mrakiaceae;g__Tausonia;s__Tausonia_pullulans	0.9999999997402824	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia	Tausonia pullulans	False	False	Waitea zeae (Rhizoctonia zeae)	95.263	25.0	Waitea zeae (Rhizoctonia zeae)	Waitea	False	False	False	False	False
ASV_ID_4	26895	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_rishikesha	0.9959909587000885	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella rishikesha	False	False	Fusarium oxysporum	95.706	21.0	Fusarium oxysporum	Fusarium	False	False	False	False	False
ASV_ID_5	26157	k__Fungi;p__Chytridiomycota;c__Chytridiomycota_cls_Incertae_sedis;o__Chytridiomycota_ord_Incertae_sedis;f__Chytridiomycota_fam_Incertae_sedis;g__Chytridiomycota_gen_Incertae_sedis;s__Chytridiomycota_sp	0.46532068889276956	Fungi	Chytridiomycota	Chytridiomycota_cls_Incertae_sedis	Chytridiomycota_ord_Incertae_sedis	Chytridiomycota_fam_Incertae_sedis	Chytridiomycota_gen_Incertae_sedis	Chytridiomycota sp	False	False	Fusarium oxysporum	95.706	21.0	Fusarium oxysporum	Fusarium	False	False	False	False	False
ASV_ID_6	25468	k__Fungi;p__Fungi_phy_Incertae_sedis;c__Fungi_cls_Incertae_sedis;o__Fungi_ord_Incertae_sedis;f__Fungi_fam_Incertae_sedis;g__Fungi_gen_Incertae_sedis;s__Fungi_sp	0.5696465402816746	Fungi	Fungi_phy_Incertae_sedis	Fungi_cls_Incertae_sedis	Fungi_ord_Incertae_sedis	Fungi_fam_Incertae_sedis	Fungi_gen_Incertae_sedis	Fungi sp	False	False	Waitea zeae (Rhizoctonia zeae)	95.263	25.0	Waitea zeae (Rhizoctonia zeae)	Waitea	False	False	False	False	False
ASV_ID_7	22563	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Cystofilobasidiales;f__Mrakiaceae;g__Tausonia;s__Tausonia_pullulans	0.9999999999919282	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia	Tausonia pullulans	False	False	Waitea zeae (Rhizoctonia zeae)	95.263	25.0	Waitea zeae (Rhizoctonia zeae)	Waitea	False	False	False	False	False
ASV_ID_8	22179	k__Fungi;p__Fungi_phy_Incertae_sedis;c__Fungi_cls_Incertae_sedis;o__Fungi_ord_Incertae_sedis;f__Fungi_fam_Incertae_sedis;g__Fungi_gen_Incertae_sedis;s__Fungi_sp	0.5560943553033361	Fungi	Fungi_phy_Incertae_sedis	Fungi_cls_Incertae_sedis	Fungi_ord_Incertae_sedis	Fungi_fam_Incertae_sedis	Fungi_gen_Incertae_sedis	Fungi sp	False	False	Waitea zeae (Rhizoctonia zeae)	95.263	25.0	Waitea zeae (Rhizoctonia zeae)	Waitea	False	False	False	False	False
ASV_ID_9	21235	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Cystofilobasidiales;f__Mrakiaceae;g__Tausonia;s__Tausonia_pullulans	0.99999999977112	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia	Tausonia pullulans	False	False	Waitea zeae (Rhizoctonia zeae)	95.263	25.0	Waitea zeae (Rhizoctonia zeae)	Waitea	False	False	False	False	False
ASV_ID_10	20543	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_rishikesha	0.9955297028981037	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella rishikesha	False	False	Fusarium oxysporum	95.706	21.0	Fusarium oxysporum	Fusarium	False	False	False	False	False
ASV_ID_11	20458	k__Fungi;p__Fungi_phy_Incertae_sedis;c__Fungi_cls_Incertae_sedis;o__Fungi_ord_Incertae_sedis;f__Fungi_fam_Incertae_sedis;g__Fungi_gen_Incertae_sedis;s__Fungi_sp	0.5457649356820516	Fungi	Fungi_phy_Incertae_sedis	Fungi_cls_Incertae_sedis	Fungi_ord_Incertae_sedis	Fungi_fam_Incertae_sedis	Fungi_gen_Incertae_sedis	Fungi sp	False	False	Waitea zeae (Rhizoctonia zeae)	95.263	25.0	Waitea zeae (Rhizoctonia zeae)	Waitea	False	False	False	False	False
ASV_ID_12	19991	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Cystofilobasidiales;f__Mrakiaceae;g__Tausonia;s__Tausonia_pullulans	0.9999999998186695	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia	Tausonia pullulans	False	False	Waitea zeae (Rhizoctonia zeae)	95.263	25.0	Waitea zeae (Rhizoctonia zeae)	Waitea	False	False	False	False	False
ASV_ID_13	19462	k__Fungi;p__Fungi_phy_Incertae_sedis;c__Fungi_cls_Incertae_sedis;o__Fungi_ord_Incertae_sedis;f__Fungi_fam_Incertae_sedis;g__Fungi_gen_Incertae_sedis;s__Fungi_sp	0.5468454635602915	Fungi	Fungi_phy_Incertae_sedis	Fungi_cls_Incertae_sedis	Fungi_ord_Incertae_sedis	Fungi_fam_Incertae_sedis	Fungi_gen_Incertae_sedis	Fungi sp	False	False	Waitea zeae (Rhizoctonia zeae)	95.263	25.0	Waitea zeae (Rhizoctonia zeae)	Waitea	False	False	False	False	False
ASV_ID_14	19160	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Cystofilobasidiales;f__Mrakiaceae;g__Tausonia;s__Tausonia_pullulans	0.9999999999248246	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia	Tausonia pullulans	False	False	Waitea zeae (Rhizoctonia zeae)	95.263	25.0	Waitea zeae (Rhizoctonia zeae)	Waitea	False	False	False	False	False
