seqid	accession	species	length	reason
MPDB000328	MZ092733.1	Klebsiella pneumoniae	762	16S rRNA methylase/methyltransferase or plasmid locus, not 16S rRNA gene
MPDB000329	NG_047476.1	Klebsiella pneumoniae	974	16S rRNA methylase/methyltransferase or plasmid locus, not 16S rRNA gene
MPDB000330	NG_048062.1	Klebsiella pneumoniae	980	16S rRNA methylase/methyltransferase or plasmid locus, not 16S rRNA gene
MPDB000331	OK482771.1	Klebsiella pneumoniae	262	16S rRNA methylase/methyltransferase or plasmid locus, not 16S rRNA gene
MPDB000332	OK504483.1	Klebsiella pneumoniae	265	16S rRNA methylase/methyltransferase or plasmid locus, not 16S rRNA gene
MPDB000333	ON286761.1	Klebsiella pneumoniae	3315	16S rRNA methylase/methyltransferase or plasmid locus, not 16S rRNA gene
MPDB000337	AB116388.1	Serratia marcescens	4042	16S rRNA methylase/methyltransferase or plasmid locus, not 16S rRNA gene
MPDB000340	FJ917355.1	Serratia marcescens	7741	16S rRNA methylase/methyltransferase or plasmid locus, not 16S rRNA gene
MPDB000345	KY623684.1	Serratia marcescens	1080	16S rRNA methylase/methyltransferase or plasmid locus, not 16S rRNA gene
MPDB000377	NG_048058.1	Serratia marcescens	956	16S rRNA methylase/methyltransferase or plasmid locus, not 16S rRNA gene
