seqid	taxid	species	category	accession	length	n_count	ambiguous_count	ambiguous_bases	header_format_ok	marker_consistent	notes
MPDB000404	10821	Mastrevirus storeyi	viruses	AF007881.1	2701	0	0		True	True	
MPDB000405	10821	Mastrevirus storeyi	viruses	AF329889.1	2690	0	0		True	True	
MPDB000406	10821	Mastrevirus storeyi	viruses	OQ102044.1	2689	0	0		True	True	
MPDB000407	10821	Mastrevirus storeyi	viruses	OQ211418.1	2685	0	0		True	True	
MPDB000408	10821	Mastrevirus storeyi	viruses	OQ211419.1	2673	0	0		True	True	
MPDB000409	10821	Mastrevirus storeyi	viruses	OQ211420.1	2684	0	0		True	True	
MPDB000410	10821	Mastrevirus storeyi	viruses	OQ211421.1	2685	0	0		True	True	
MPDB000411	10821	Mastrevirus storeyi	viruses	OQ211422.1	2685	0	0		True	True	
MPDB000412	10821	Mastrevirus storeyi	viruses	OQ211423.1	2683	0	0		True	True	
MPDB000413	10821	Mastrevirus storeyi	viruses	OQ211428.1	2684	0	0		True	True	
MPDB000414	10821	Mastrevirus storeyi	viruses	OQ211429.1	2685	0	0		True	True	
MPDB000415	10821	Mastrevirus storeyi	viruses	OQ211430.1	2684	0	0		True	True	
MPDB000416	10821	Mastrevirus storeyi	viruses	OQ211431.1	2685	0	0		True	True	
MPDB000417	10821	Mastrevirus storeyi	viruses	OQ211432.1	2684	0	0		True	True	
MPDB000418	10821	Mastrevirus storeyi	viruses	OQ211433.1	2684	0	0		True	True	
MPDB000419	10821	Mastrevirus storeyi	viruses	OQ211434.1	2684	0	1	Y	True	True	
MPDB000420	10821	Mastrevirus storeyi	viruses	OQ211435.1	2684	0	0		True	True	
MPDB000421	10821	Mastrevirus storeyi	viruses	OQ211436.1	2685	0	0		True	True	
MPDB000422	10821	Mastrevirus storeyi	viruses	OQ211437.1	2685	0	0		True	True	
MPDB000423	10821	Mastrevirus storeyi	viruses	OQ211438.1	2685	0	0		True	True	
MPDB000424	10821	Mastrevirus storeyi	viruses	OQ211439.1	2686	0	0		True	True	
MPDB000425	10821	Mastrevirus storeyi	viruses	OQ211440.1	2684	0	0		True	True	
MPDB000426	10821	Mastrevirus storeyi	viruses	OQ211441.1	2684	0	0		True	True	
MPDB000427	10821	Mastrevirus storeyi	viruses	OQ211442.1	2685	0	0		True	True	
MPDB000428	10821	Mastrevirus storeyi	viruses	OQ211444.1	2685	0	0		True	True	
MPDB000429	10821	Mastrevirus storeyi	viruses	OQ211445.1	2684	0	0		True	True	
MPDB000430	10821	Mastrevirus storeyi	viruses	OQ211446.1	2684	0	0		True	True	
MPDB000431	10821	Mastrevirus storeyi	viruses	OQ211447.1	2685	0	0		True	True	
MPDB000432	10821	Mastrevirus storeyi	viruses	OQ211448.1	2686	0	0		True	True	
MPDB000433	10821	Mastrevirus storeyi	viruses	OQ211449.1	2682	0	0		True	True	
MPDB000434	10821	Mastrevirus storeyi	viruses	OQ211450.1	2684	0	0		True	True	
MPDB000435	10821	Mastrevirus storeyi	viruses	OQ211451.1	2684	0	0		True	True	
MPDB000436	10821	Mastrevirus storeyi	viruses	OQ211452.1	2685	0	0		True	True	
MPDB000437	10821	Mastrevirus storeyi	viruses	OQ211454.1	2684	0	0		True	True	
MPDB000438	10821	Mastrevirus storeyi	viruses	OR258386.1	2687	0	0		True	True	
MPDB000439	10821	Mastrevirus storeyi	viruses	OR258387.1	2687	0	0		True	True	
MPDB000440	10821	Mastrevirus storeyi	viruses	OR258388.1	2686	0	0		True	True	
MPDB000441	10821	Mastrevirus storeyi	viruses	OR258392.1	2687	0	0		True	True	
MPDB000442	10821	Mastrevirus storeyi	viruses	OR258395.1	2687	0	0		True	True	
MPDB000443	10821	Mastrevirus storeyi	viruses	OR258396.1	2687	0	0		True	True	
MPDB000444	10821	Mastrevirus storeyi	viruses	OR258397.1	2687	0	0		True	True	
MPDB000445	10821	Mastrevirus storeyi	viruses	OR258398.1	2688	0	0		True	True	
MPDB000446	10821	Mastrevirus storeyi	viruses	OR258402.1	2688	0	0		True	True	
MPDB000447	10989	Fijivirus zeae	viruses	MN103286.1	1936	0	0		True	True	
MPDB000448	10989	Fijivirus zeae	viruses	MN103287.1	1900	0	0		True	True	
MPDB000449	10989	Fijivirus zeae	viruses	MN103288.1	1802	0	0		True	True	
MPDB000450	10990	Fijivirus alporyzae	viruses	LC590237.1	1929	0	0		True	True	
MPDB000451	10990	Fijivirus alporyzae	viruses	LC590238.1	1920	0	0		True	True	
MPDB000452	10990	Fijivirus alporyzae	viruses	LC590239.1	1801	0	0		True	True	
MPDB000453	1182518	Mastrevirus bourbonense	viruses	JQ624880.1	2882	0	0		True	True	
MPDB000454	1182518	Mastrevirus bourbonense	viruses	KJ437669.1	2879	0	0		True	True	
MPDB000455	1182518	Mastrevirus bourbonense	viruses	KJ437670.1	2879	0	0		True	True	
