seqid	taxid	species	category	accession	length	source	original_header
MPDB000001	1408	Bacillus pumilus	bacteria	HG008801.1	1009	reference	1408|Bacillus pumilus|bacteria|HG008801.1 HG008801.1 Bacillus pumilus partial 16S rRNA gene, strain B0210-13LL2
MPDB000002	1408	Bacillus pumilus	bacteria	LC063672.1	901	reference	1408|Bacillus pumilus|bacteria|LC063672.1 LC063672.1 Bacillus pumilus gene for 16S rRNA, partial sequence, strain: 19C
MPDB000003	1408	Bacillus pumilus	bacteria	LC599402.1	1147	reference	1408|Bacillus pumilus|bacteria|LC599402.1 LC599402.1 Bacillus pumilus AZFS5 gene for 16S rRNA, partial sequence
MPDB000004	1408	Bacillus pumilus	bacteria	LC667793.1	1366	reference	1408|Bacillus pumilus|bacteria|茎腐病/叶斑病（偶发） LC667793.1 Bacillus pumilus Cq-22 gene for 16S rRNA, partial sequence
MPDB000005	1408	Bacillus pumilus	bacteria	LC667805.1	1330	reference	1408|Bacillus pumilus|bacteria|茎腐病/叶斑病（偶发） LC667805.1 Bacillus pumilus Cq-35 gene for 16S rRNA, partial sequence
MPDB000006	1408	Bacillus pumilus	bacteria	LC768708.1	1438	reference	1408|Bacillus pumilus|bacteria|茎腐病/叶斑病（偶发） LC768708.1 Bacillus pumilus PS3 gene for 16S rRNA, partial sequence
MPDB000007	1408	Bacillus pumilus	bacteria	LM643738.1	1221	reference	1408|Bacillus pumilus|bacteria|LM643738.1 LM643738.1 Bacillus pumilus partial 16S rRNA gene, isolate NBtS-14
MPDB000008	1408	Bacillus pumilus	bacteria	LM643745.1	1097	reference	1408|Bacillus pumilus|bacteria|LM643745.1 LM643745.1 Bacillus pumilus partial 16S rRNA gene, isolate NBtR-15
MPDB000009	1408	Bacillus pumilus	bacteria	LN827670.1	1008	reference	1408|Bacillus pumilus|bacteria|LN827670.1 LN827670.1 Bacillus pumilus partial 16S rRNA gene, strain CEES, isolate CEES#26
MPDB000010	1408	Bacillus pumilus	bacteria	LN866616.1	1088	reference	1408|Bacillus pumilus|bacteria|LN866616.1 LN866616.1 Bacillus pumilus partial 16S rRNA gene, strain AHB19N
MPDB000011	1408	Bacillus pumilus	bacteria	LN867304.1	1317	reference	1408|Bacillus pumilus|bacteria|LN867304.1 LN867304.1 Bacillus pumilus partial 16S rRNA gene, strain CP1
MPDB000012	1408	Bacillus pumilus	bacteria	LN879493.2	1392	reference	1408|Bacillus pumilus|bacteria|LN879493.2 LN879493.2 Bacillus pumilus partial 16S rRNA gene, strain GRC, isolate 20
MPDB000013	1408	Bacillus pumilus	bacteria	LN879494.2	1385	reference	1408|Bacillus pumilus|bacteria|LN879494.2 LN879494.2 Bacillus pumilus partial 16S rRNA gene, strain GRK, isolate IIIab
MPDB000014	1408	Bacillus pumilus	bacteria	LN880277.1	262	reference	1408|Bacillus pumilus|bacteria|LN880277.1 LN880277.1 Bacillus pumilus partial 16S rRNA gene, isolate Bac15
MPDB000015	1408	Bacillus pumilus	bacteria	LN890660.1	902	reference	1408|Bacillus pumilus|bacteria|LN890660.1 LN890660.1 Bacillus pumilus partial 16S rRNA gene, isolate K3B
MPDB000016	1408	Bacillus pumilus	bacteria	LN995758.1	1012	reference	1408|Bacillus pumilus|bacteria|LN995758.1 LN995758.1 bacillus pumilus partial 16S rRNA gene, isolate T2.1 P
MPDB000017	1408	Bacillus pumilus	bacteria	LN997932.1	1365	reference	1408|Bacillus pumilus|bacteria|LN997932.1 LN997932.1 Bacillus pumilus partial 16S rRNA gene, isolate M11
MPDB000018	1408	Bacillus pumilus	bacteria	LR215095.1	1313	reference	1408|Bacillus pumilus|bacteria|LR215095.1 LR215095.1 Bacillus pumilus partial 16S rRNA gene, isolate YPD_B6_IIIA
MPDB000019	1408	Bacillus pumilus	bacteria	LR535757.1	1388	reference	1408|Bacillus pumilus|bacteria|LR535757.1 LR535757.1 Bacillus pumilus partial 16S rRNA gene, isolate 4B2-13
MPDB000020	1408	Bacillus pumilus	bacteria	LR535759.1	1402	reference	1408|Bacillus pumilus|bacteria|LR535759.1 LR535759.1 Bacillus pumilus partial 16S rRNA gene, isolate 4B3-13
MPDB000021	1408	Bacillus pumilus	bacteria	LR535772.1	1402	reference	1408|Bacillus pumilus|bacteria|LR535772.1 LR535772.1 Bacillus pumilus partial 16S rRNA gene, isolate 6C1-13
MPDB000022	1408	Bacillus pumilus	bacteria	LR535793.1	1420	reference	1408|Bacillus pumilus|bacteria|LR535793.1 LR535793.1 Bacillus pumilus partial 16S rRNA gene, isolate 10B2-13
MPDB000023	1408	Bacillus pumilus	bacteria	LS991397.1	807	reference	1408|Bacillus pumilus|bacteria|LS991397.1 LS991397.1 Bacillus pumilus partial 16S rRNA gene, isolate CWMP-8E33
MPDB000024	1408	Bacillus pumilus	bacteria	LT221146.1	1061	reference	1408|Bacillus pumilus|bacteria|LT221146.1 LT221146.1 Bacillus pumilus partial 16S rRNA gene, isolate HL3RP14
MPDB000025	1408	Bacillus pumilus	bacteria	LT221259.1	1008	reference	1408|Bacillus pumilus|bacteria|LT221259.1 LT221259.1 Bacillus pumilus partial 16S rRNA gene, isolate LK5HaP14
MPDB000026	1408	Bacillus pumilus	bacteria	LT617072.1	1311	reference	1408|Bacillus pumilus|bacteria|LT617072.1 LT617072.1 Bacillus pumilus partial 16S rRNA gene, isolate ph5_R2IIF
MPDB000027	1408	Bacillus pumilus	bacteria	LT617079.1	1290	reference	1408|Bacillus pumilus|bacteria|LT617079.1 LT617079.1 Bacillus pumilus partial 16S rRNA gene, isolate pH9_R2_5_I_B
