seqid	taxid	species	category	accession	source_length	marker_length	length	gc_percent	marker_region	extraction_method
MPDB000001	1408	Bacillus pumilus	bacteria	HG008801.1	1009	1001	1001	53.9000	16S rRNA	barrnap-coordinate-extraction
MPDB000002	1408	Bacillus pumilus	bacteria	LC063672.1	901	866	866	54.7344	16S rRNA	barrnap-coordinate-extraction
MPDB000003	1408	Bacillus pumilus	bacteria	LC599402.1	1147	1142	1142	54.9037	16S rRNA	barrnap-coordinate-extraction
MPDB000004	1408	Bacillus pumilus	bacteria	LC667793.1	1366	1361	1361	54.7392	16S rRNA	barrnap-coordinate-extraction
MPDB000005	1408	Bacillus pumilus	bacteria	LC667805.1	1330	1328	1328	54.8946	16S rRNA	barrnap-coordinate-extraction
MPDB000006	1408	Bacillus pumilus	bacteria	LC768708.1	1438	1436	1436	54.9443	16S rRNA	barrnap-coordinate-extraction
MPDB000007	1408	Bacillus pumilus	bacteria	LM643738.1	1221	1218	1218	54.9261	16S rRNA	barrnap-coordinate-extraction
MPDB000008	1408	Bacillus pumilus	bacteria	LM643745.1	1097	1091	1091	54.2621	16S rRNA	barrnap-coordinate-extraction
MPDB000009	1408	Bacillus pumilus	bacteria	LN827670.1	1008	946	946	54.5455	16S rRNA	barrnap-coordinate-extraction
MPDB000010	1408	Bacillus pumilus	bacteria	LN866616.1	1088	1070	1070	54.2991	16S rRNA	barrnap-coordinate-extraction
MPDB000011	1408	Bacillus pumilus	bacteria	LN867304.1	1317	1313	1313	54.6839	16S rRNA	barrnap-coordinate-extraction
MPDB000012	1408	Bacillus pumilus	bacteria	LN879493.2	1392	1368	1368	54.6053	16S rRNA	barrnap-coordinate-extraction
MPDB000013	1408	Bacillus pumilus	bacteria	LN879494.2	1385	1364	1364	54.7654	16S rRNA	barrnap-coordinate-extraction
MPDB000014	1408	Bacillus pumilus	bacteria	LN880277.1	262	262	262	55.9387	16S rRNA partial	marker-only-record-retained
