seqid	category	marker	length	gc_pct
MPDB000001	Bacteria	16S rRNA	1009	53.82
MPDB000002	Bacteria	16S rRNA	901	54.61
MPDB000003	Bacteria	16S rRNA	1147	54.93
MPDB000004	Bacteria	16S rRNA	1366	54.61
MPDB000005	Bacteria	16S rRNA	1330	54.81
MPDB000006	Bacteria	16S rRNA	1438	55.01
MPDB000007	Bacteria	16S rRNA	1221	54.95
MPDB000008	Bacteria	16S rRNA	1097	54.33
MPDB000009	Bacteria	16S rRNA	1008	54.37
MPDB000010	Bacteria	16S rRNA	1088	54.23
MPDB000011	Bacteria	16S rRNA	1317	54.75
MPDB000012	Bacteria	16S rRNA	1392	54.81
MPDB000013	Bacteria	16S rRNA	1385	54.87
MPDB000014	Bacteria	16S rRNA	262	55.73
MPDB000015	Bacteria	16S rRNA	902	55.54
MPDB000016	Bacteria	16S rRNA	1012	52.08
MPDB000017	Bacteria	16S rRNA	1365	54.87
MPDB000018	Bacteria	16S rRNA	1313	54.61
MPDB000019	Bacteria	16S rRNA	1388	54.76
MPDB000020	Bacteria	16S rRNA	1402	55.06
MPDB000021	Bacteria	16S rRNA	1402	54.92
MPDB000022	Bacteria	16S rRNA	1420	54.86
MPDB000023	Bacteria	16S rRNA	807	53.28
MPDB000024	Bacteria	16S rRNA	1061	55.51
MPDB000025	Bacteria	16S rRNA	1008	55.36
MPDB000026	Bacteria	16S rRNA	1311	54.69
MPDB000027	Bacteria	16S rRNA	1290	54.57
MPDB000028	Bacteria	16S rRNA	1292	54.72
MPDB000029	Bacteria	16S rRNA	479	55.74
MPDB000030	Bacteria	16S rRNA	330	57.27
MPDB000031	Bacteria	16S rRNA	976	55.23
MPDB000032	Bacteria	16S rRNA	1346	54.83
MPDB000033	Bacteria	16S rRNA	1441	55.24
MPDB000034	Bacteria	16S rRNA	1097	54.42
MPDB000035	Bacteria	16S rRNA	976	55.23
MPDB000036	Bacteria	16S rRNA	867	54.79
MPDB000037	Bacteria	16S rRNA	1084	55.17
MPDB000038	Bacteria	16S rRNA	405	54.07
MPDB000039	Bacteria	16S rRNA	1392	55.03
MPDB000040	Bacteria	16S rRNA	1410	55.11
MPDB000041	Bacteria	16S rRNA	1392	54.96
MPDB000042	Bacteria	16S rRNA	1393	54.99
MPDB000043	Bacteria	16S rRNA	1393	54.99
MPDB000044	Bacteria	16S rRNA	1382	53.18
MPDB000045	Bacteria	16S rRNA	523	53.35
MPDB000046	Bacteria	16S rRNA	722	52.49
MPDB000047	Bacteria	16S rRNA	1370	55.26
MPDB000048	Bacteria	16S rRNA	1370	55.4
MPDB000049	Bacteria	16S rRNA	1371	55.22
MPDB000050	Bacteria	16S rRNA	1370	55.4
MPDB000051	Bacteria	16S rRNA	1370	55.18
MPDB000052	Bacteria	16S rRNA	1363	56.27
MPDB000053	Bacteria	16S rRNA	1362	55.95
MPDB000054	Bacteria	16S rRNA	1363	56.13
MPDB000055	Bacteria	16S rRNA	1363	56.13
MPDB000056	Bacteria	16S rRNA	463	56.37
MPDB000057	Bacteria	16S rRNA	462	56.06
MPDB000058	Bacteria	16S rRNA	462	56.28
MPDB000059	Bacteria	16S rRNA	462	56.06
MPDB000060	Bacteria	16S rRNA	1371	54.85
MPDB000061	Bacteria	16S rRNA	1370	54.96
MPDB000062	Bacteria	16S rRNA	1372	54.66
MPDB000063	Bacteria	16S rRNA	1371	54.85
MPDB000064	Bacteria	16S rRNA	1370	54.82
MPDB000065	Bacteria	16S rRNA	1372	54.96
MPDB000066	Bacteria	16S rRNA	1363	55.32
MPDB000067	Bacteria	16S rRNA	1449	54.73
MPDB000068	Bacteria	16S rRNA	1458	54.94
MPDB000069	Bacteria	16S rRNA	413	53.03
MPDB000070	Bacteria	16S rRNA	414	53.14
MPDB000071	Bacteria	16S rRNA	1340	54.7
MPDB000072	Bacteria	16S rRNA	1453	55.13
MPDB000073	Bacteria	16S rRNA	1484	54.58
MPDB000074	Bacteria	16S rRNA	1499	54.77
MPDB000075	Bacteria	16S rRNA	1509	54.94
MPDB000076	Bacteria	16S rRNA	1498	54.94
MPDB000077	Bacteria	16S rRNA	1522	54.8
MPDB000078	Bacteria	16S rRNA	1458	55.01
MPDB000079	Bacteria	16S rRNA	1443	51.21
MPDB000080	Bacteria	16S rRNA	157	56.05
MPDB000081	Bacteria	16S rRNA	770	51.69
MPDB000082	Bacteria	16S rRNA	737	50.88
MPDB000083	Bacteria	16S rRNA	1400	55.14
MPDB000084	Bacteria	16S rRNA	1401	55.17
MPDB000085	Bacteria	16S rRNA	1372	55.03
MPDB000087	Bacteria	16S rRNA	808	53.96
MPDB000088	Bacteria	16S rRNA	809	53.89
MPDB000089	Bacteria	16S rRNA	1351	53.96
MPDB000090	Bacteria	16S rRNA	1344	54.17
MPDB000091	Bacteria	16S rRNA	1365	54.14
MPDB000092	Bacteria	16S rRNA	1364	54.11
MPDB000093	Bacteria	16S rRNA	1366	54.17
MPDB000094	Bacteria	16S rRNA	1330	54.14
MPDB000095	Bacteria	16S rRNA	1355	54.02
MPDB000096	Bacteria	16S rRNA	1311	54.0
MPDB000097	Bacteria	16S rRNA	1350	54.07
MPDB000098	Bacteria	16S rRNA	1324	54.08
MPDB000099	Bacteria	16S rRNA	290	55.52
MPDB000100	Bacteria	16S rRNA	1227	54.44
MPDB000101	Bacteria	16S rRNA	660	49.24
MPDB000102	Bacteria	16S rRNA	1479	54.29
MPDB000103	Bacteria	16S rRNA	1007	53.43
MPDB000104	Bacteria	16S rRNA	949	51.84
MPDB000105	Bacteria	16S rRNA	951	54.57
MPDB000106	Bacteria	16S rRNA	964	54.05
MPDB000107	Bacteria	16S rRNA	780	53.33
MPDB000108	Bacteria	16S rRNA	958	53.76
MPDB000109	Bacteria	16S rRNA	703	53.63
MPDB000110	Bacteria	16S rRNA	974	53.08
MPDB000111	Bacteria	16S rRNA	974	52.87
MPDB000112	Bacteria	16S rRNA	939	53.46
MPDB000113	Bacteria	16S rRNA	849	52.18
MPDB000114	Bacteria	16S rRNA	976	52.25
MPDB000115	Bacteria	16S rRNA	962	52.6
MPDB000116	Bacteria	16S rRNA	671	53.35
MPDB000117	Bacteria	16S rRNA	957	52.56
MPDB000118	Bacteria	16S rRNA	952	52.84
MPDB000119	Bacteria	16S rRNA	949	53.74
MPDB000120	Bacteria	16S rRNA	935	53.16
MPDB000121	Bacteria	16S rRNA	363	53.99
MPDB000122	Bacteria	16S rRNA	881	52.67
MPDB000123	Bacteria	16S rRNA	930	52.8
MPDB000124	Bacteria	16S rRNA	933	51.66
MPDB000125	Bacteria	16S rRNA	910	53.41
MPDB000126	Bacteria	16S rRNA	1050	54.48
MPDB000127	Bacteria	16S rRNA	1120	54.2
MPDB000128	Bacteria	16S rRNA	1258	53.26
MPDB000129	Bacteria	16S rRNA	1478	55.89
MPDB000130	Bacteria	16S rRNA	451	56.98
MPDB000131	Bacteria	16S rRNA	448	56.92
MPDB000132	Bacteria	16S rRNA	454	57.05
MPDB000133	Bacteria	16S rRNA	451	56.98
MPDB000134	Bacteria	16S rRNA	438	57.31
MPDB000135	Bacteria	16S rRNA	450	56.89
MPDB000136	Bacteria	16S rRNA	273	56.04
MPDB000137	Bacteria	16S rRNA	452	56.86
MPDB000138	Bacteria	16S rRNA	1478	55.89
MPDB000139	Bacteria	16S rRNA	1479	54.09
MPDB000140	Bacteria	16S rRNA	917	52.89
MPDB000141	Bacteria	16S rRNA	584	52.91
MPDB000142	Bacteria	16S rRNA	584	53.6
MPDB000143	Bacteria	16S rRNA	584	53.08
MPDB000144	Bacteria	16S rRNA	584	53.08
MPDB000145	Bacteria	16S rRNA	584	53.25
MPDB000146	Bacteria	16S rRNA	584	53.6
MPDB000147	Bacteria	16S rRNA	1383	54.01
MPDB000148	Bacteria	16S rRNA	960	53.44
MPDB000149	Bacteria	16S rRNA	837	55.08
MPDB000150	Bacteria	16S rRNA	1467	55.28
MPDB000151	Bacteria	16S rRNA	1467	55.35
MPDB000152	Bacteria	16S rRNA	1105	53.94
MPDB000153	Bacteria	16S rRNA	1385	54.95
MPDB000154	Bacteria	16S rRNA	709	55.29
MPDB000155	Bacteria	16S rRNA	709	57.4
MPDB000156	Bacteria	16S rRNA	421	54.39
MPDB000157	Bacteria	16S rRNA	709	55.57
MPDB000158	Bacteria	16S rRNA	699	55.22
MPDB000159	Bacteria	16S rRNA	700	55.14
MPDB000160	Bacteria	16S rRNA	709	55.43
MPDB000161	Bacteria	16S rRNA	699	55.22
MPDB000162	Bacteria	16S rRNA	699	55.08
MPDB000163	Bacteria	16S rRNA	689	55.01
MPDB000164	Bacteria	16S rRNA	709	55.43
MPDB000165	Bacteria	16S rRNA	709	55.43
MPDB000166	Bacteria	16S rRNA	689	55.44
MPDB000167	Bacteria	16S rRNA	699	55.22
MPDB000168	Bacteria	16S rRNA	216	55.56
MPDB000169	Bacteria	16S rRNA	558	54.12
MPDB000170	Bacteria	16S rRNA	1410	54.96
MPDB000171	Bacteria	16S rRNA	1285	54.24
MPDB000172	Bacteria	16S rRNA	973	54.37
MPDB000173	Bacteria	16S rRNA	853	54.16
MPDB000174	Bacteria	16S rRNA	823	53.71
MPDB000175	Bacteria	16S rRNA	822	54.62
MPDB000176	Bacteria	16S rRNA	1485	55.02
MPDB000177	Bacteria	16S rRNA	1482	54.99
MPDB000178	Bacteria	16S rRNA	1025	54.54
